id,titulo,ref,tipo,categoria,descricao,disponibilidade,preco,razao_social,cnpj,constituicao,tributacao,ativos,valor_estoque,produtos,servicos,fundacao,motivo_venda,vol_vendas_a_1,vol_vendas_a_2,vol_vendas_a_3,faturamento_mensal,lucro_bruto,margem_lucro,lucro_liquido,imovel,endividamento,condicoes_venda,numero_funcionarios,diferencial,endereco,endereco_complemento,endereco_bairro,cidade,estado,pais,_contato_responsavel,_contato_telefone,_contato_email,_contato_skype
21,"2 POSTOS DE COMBUSTÍVEIS",0001,"Postos de Combustível",Comércio,,3,500000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"Conveniência completa, posto completo.",0,"Gasolina, Álcool, diesel, óleo, loja de conveniência.","Lavação, loja de conveniência, troca de óleo.",1995,Comercial,0,0,0,480000,30000,2,8000,2,"Possui somente os passivos normal de funcionários caso queria demiti-los, aproximadamente 40 mil.","Este valor é pelo os dois postos, menos o estoque em torno de R$ 250.000,00 a ser contato no momento da venda,aceita proposta",18,"Localização em avenida com 3 ruas duas laterais e uma frontal, muito movimentadas, acessos aos bairros,  Possibilidade ampla de aumento do faturamento.Venda de 170.000 litros mês os dois postos com possibilidade de aumento de faturamento.
Loja de conveniência faturamento em torno de 70 mil, porém muito mal trabalhadas e com aspectos feios, com boa reforma já venderiam mais.
Contrato com o dono do imóvel até 2017 com multa de rescisão caso ele venha cancelar o contrato, 
Contrato com a bandeira tem mais 5 anos.
","Endereço ",Complemento,"Bairro ",Joinville,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
22,"EMPRESA DE SEGURANÇA PRIVADA",0002,"Empresa de Segurança Privada",Serviços,,0,1500000,eeeeeeeeeee,11.691.117/0001-85,"Sociedade Simples",Simples,"São 4 veículos todos pagos, varias armas, estrutura completa duas sedes com escritórios montados, etc...",,,"Segurança patrimonial , escolta armada ,segurança pessoal e eventos",1997,"Reduzir rítimo de trabalho, pois possui mais negócios",,,,560000,100000,6,35000,2,"Não a nenhuma divida, credito com bancos, somente o passivo normal com os funcionários.","Estuda 50 % em imoveis",208,"Empresa com tradição, clientela formada de pequenas médias e grandes empresas, empresa enxuta, com possibilidade de dobrar o faturamento mais não se faz e virtude de falta de tempo para dedicação dos sócios, muita licitação governamental que se pode entrar atualmente é somente empresa particular, os sócios retiram realmente o lucro são 15 mil para cada um e a sobra se reinveste no negocio.","Rua Max",,jjjjjjjjjjjjjj,"Sul do Brasil","Santa Catarina",Brasil,Ronaldo,"47 34357058",mauriciobbn@brturbo.com.br,mauriciobbn
23,"LOJA DE MATERIAL ELÉTRICO",0003,"Bares e Lanchonetes",Comércio,"<p>Otimo negocio, com mais de 15 anos de experieicial</p>
<p> </p>",0,380000,"Loja de material",11.691.117/0001-85,"Sociedade Simples",Simples,"Área de venda 280m2
Área de mezanino 128 m2
Escritório 20m2
Deposito 150 m2
6 computadores, impressoras, sistema de controle.
Moveis e utensílios;
Alarme;
5 telefones, com central para 8 telefones;
Automóvel saveiro ano 2010 completa.
Linha completa de materiais elétricos 
",300000,"Material eletrico em geral",Entrega,1993,Aposentadoria,"0,0","0,0","0,0",150000,60000,"45,00",8000,2,"Giro normal do negocio no valor aproximado de R$ 160.000,00 contas a pagar conforme vendas, e mais um financiamento do veiculo no valor de R$ 36.000,00.","Aceita proposta",7,"localização,Conceito no mercado.
Parceria com eletricista.
Com 15 anos de mercado.
Ótima região
 ","Rua São paulo",Rua,Floresta,Joinville,"Santa Catarina",Brasil,nilton,"47 34357058",mauriciobbn@brturbo.com.br,mauriciobbn
24,"REVISTARIA E TABACARIA",0004,"Revistaria e Tabacaria",Comércio,,0,130000,"REVISTARIA E TABACARIA RM LTDA",03.794.137/0001-53,"Sociedade Simples",Simples,"Móveis  em geral, equipamentos de informática, área de 42 m2.",7000,"Revista- Jornais- DVDs- Tabacaria- Bomboniere- Presentes- Adesivos -Cartão Telefônico- Passe De Ônibus- Livros E Outros.",,2000,"Abertura de um novo negócio no ramo de fermentaria com outro sócio.",951593,975366,1045350,87112,16000,18,5000,2,"Nenhum, somente o deposito que deverá ser feita no valor de R$ 20.000,00 junto às editoras, este dinheiro ficará a juros como garantia.",Negociável.,3,"Produtos consignados, tradição, fácil administração.","AV. GETULIO VARGAS 1446, LOJA 67","SHOPPING AMERICANAS","ANITA GARIBALDI ",Joinville,"Santa Catarina",Brasil,"OTTO/ ROSANA","47 34554206",OTTO.ANGEL@CAIXA.GOV.BR,"NÃO TEM "
25,LOTÉRICA,0005,Lotérica,Serviços,,2,660000,Loterica,03.794.137/0001-55,"Sociedade Simples",Simples,"Computadores, impressoras, sistema de controle.
Moveis e utensílios;
Alarme;
Unidade possui um espaço de 214 m2 - é uma mine agencia bancaria, pois temos cadeiras de espera, senha, Horário de funcionamento:  08 ÀS 19h
",0,,"Pagamentos e Jogos",1990,"Comercial mora em outra cidade","0,0","0,0","0,0",25000,20000,45,12000,2,Nenhum,"Aceita Proposta!",10,"Bairro com mais de 30 mil habitantes, em crescimento, próximo a grandes indústrias e comércios. ",,,,Joinville,"Santa Catarina",Brasil,,,,9999
26,"HOTEL  ",0006,"Hotéis e Motéis ",Comércio,,0,3800000,Hotel,03.794.137/0001-55,"Sociedade Simples",Simples,"Construção toda em Aço carbono, com enchimento de concreto alta resistência.
Área de terreno:  1.814,60 m² 
Área de Construção: 1.400,00 m²
Sistema de cameras com acompanhamento via internet, programa de gerencialmento, comptadores.
Parte interna uma Clara bóia onde ilumina os corredores economizando energia.
Espaço para implantação de elevador
Parede sobre colunas fácil revolver
Ótimas instalações elétricas
Cozinha montada  medindo 4,00 x 5,00 m²
Recepção alto padrão
Prédio com menos de 10 anos de construção
Estacionamento para 30 carros fechados e 10 carros na calçada (estacionamento tanto para carros como para ônibus e caminhão)
Central de gás
Acesso fácil a BR
Área de Café com mais de 50 lugares

",0,"Refrigerente, bebidas, salgadinho etc..","Hospedagem, reuniões, Coffee - Shop integrado à recepção ",,Comercial,0,0,600000,100000,70000,50,50000,1,nenhum,"Aceita proposta",8,"Principal acesso da cidade, localizado em cidade industrial com vários eventos municipais e pontos turísticos, diferenciam dos outros hotéis em qualidade de serviços e instalações, com diárias compatíveis com a realidade. Observando a necessidade de clientes, turistas, pessoas que se utilizam diariamente dos serviços de hospedagem, oferecemos esta opção com praticidade no atendimento.","rUA XV",.......,,Joinville,"Santa Catarina",Brasil,,,,
27,"DISTRIBUIDORA DE METAIS",0007,Distribuidoras,Comércio,,0,280000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"3 Computadores no valor aproximando de R$ 5.000,00
1 Sistema ERP no valor de R$ 8.000,00
1 Ar-condicionado valor de R$ 1.000,00
Mobília em geral valor de R$ 2.500,00
1 Maquina de corte valor de R$ 10.000,00
1 Maquina de corte valor de R$  8.000,00
Balança digital R$ 1.500,00
Ferramentas R$ 2.000,00
Valor total R$ 38.000,00
",120000,"Corte sob medida em materiais não ferrosos como Latão, cobre, bronze, alumínio.","Corte e entrega",2008,"Falta de Capital de Giro",0,0,0,30000,13000,40,8000,2,"Será quitado no momento da venda!","Aceita Proposta",4,"Mercado em crescimento, cortes sob medida, margem de lucro.","Endereço ",Complemento,"Bairro ",Joinville,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
28,"MERCADO NO BAIRRO",0008,"Supermercados - Mercado",Comércio,,0,190000,"Alexandre de oliveira mer",06.262.725/0001-34,"Sociedade Simples","Lucro Real","1 Câmera fria 600 kg
1 expositor de carne
1 ilha 3 mts
1 Geladeira 4 porta 
5 Geladeira 1 porta vidro
Todos equipamentos açougue
2 caixas- computador
25mt prateleira central Branca
7 Frentes gôndolas Brancas
1 Expositor de verduras c vidro
1 forno para pão (Consignado)
",130000,"Linha Completa de mercado.",Entrega,2004,"Mudança de ramo",1000000,1200000,1400000,140000,20000,8,8000,2,Nenhum,"Aceita Proposta",7,"Somente dois mercados no bairro que possui 1500 habitantes, possibilidade de crescimento.","Profeta Elias n 83",,"Bairro Popular",Joinville,"Santa Catarina",Brasil,Alexandre,"47 34379398",berkenhockelaine@gmail.com,"NÃO TEM "
30,"PROVEDOR DE INTERNET",0009,"Provedora de Internet",Serviços,,6,200000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples," 01 armário em ferro dos servidores, roteadores, switches etc.. na sala principal Provedor, 01 x Estrutura metálica estaiada com 16 metros na central onde estão os servidores da empresa, 02 x RB600, sendo uma com 8 cartões de rádio e outra com 06 cartões de rádios, 07 x RB433, todas completas com 03 cartões de rádio cada, 01 x RB500, com 03 cartões, 16 x antenas em uso para freqüência 5.89 GHz, 02 x CPU rodando com MK com três cartões DWL-530, 01 x CPU rodando com MK licenciado com registro geral dos clientes, 04 x CPU rodando com FreeBsD e Linux com servidores, 01 servidor quad 2 core com sistema adiministrativo/financieor com gerenciamento e outro com Proxy última geração inteligente, anti-spam, domínios, 02 x Roteadores Cisco 2501, 04 x Switches D-link DES-1008D com 08 portas cada, 02 x No-breaks de 3.0 Kwa, um em uso e um back-up, 05 x No-breaks funcionando em torres, 01 x Torre metálica com 16M15Cent estaiada sobre abrigo da Caixa D'água da Samae em Ubatuba com 01 x RB433 c/03 cartões e um AP GI-link, 01 x Estrutura metálica na Laranjeira com 08 metros com estrutura de alvenaria de 1.5 tons, com 01 x RB433 com 03 cartões + 01 NS5 em 5.8GHz, Pontos/torres em uso com permuta, Torre Samae sito na Monte Castelo, com 02 RB433 c/ 06 cartões, Torre Bandeirante no Morro Grande, com 02 RB433 c/ 06 cartões e 01 RB600 com 08 cartões, Residência Rocio Pequeno, com uso de cano comum ¾’, Residência Acarai, com cano de 1 polegada, Hotel Villa Real sob contrato do permuta, com uso de espaço térreo, Estrutura metálica na Vila da Gloria com permuta em prédio comercial, sendo +/- 100 rádios NS5+loco em 5.8 GHz e demais em AP 2.4 GHz, sendo modelos de maioria G120, GI-LINK e alguns Edimax com 90% dos AP com firmware AP-Router  instalado, Link full de 12 megas com a Embratel ao custo de R$. 7.889,31 mensal, em fase de cancelamento para implantação até maio/2010 de link full da Oi/Brt de 16 megas ao custo de R$. 8.000,00 e desativação do Link full de 512k com a Oi/Brt para atender contrato autenticação ADSL aos acessos ADSL com cerca de 200 clientes no estado de Santa Catarina ao custo de R$. 650,00, Em fase de implantação 01 x servidor/ CPU com MK acesso a internet pública wireless em parceria com a Prefeitura Municipal no centro da cidade, junto a Fundação Cultural, sendo acesso restrito a navegação, bloqueados demais recursos a título de marketing para venda do uso da net via rádio.",170000,,"Prover internet à rádio",1998,Aposentadoria,0,0,0,35000,27000,30,10500,2,Nenhum,"Aceita Proposta",5,"600 clientes com cerca de 600 contratos em comodatos, ótimo local para morar, comando em qualquer parte de mundo, expansão.","Endereço ",Complemento,"Bairro ","Litoral Norte","Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
31,"RESTAURANTES SHOPPINGS (2 Lojas)",0010,"Bares e Lanchonetes",Comércio,,6,120000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"Totalmente operacionais cada uma com: Cozinhas: todos os utensílios de cozinha necessários, fogão industrial, bancadas, pias, prateleiras, armários, coifas, fritadeiras, chapas, grelhas, char-broiler, espremedores de laranja, refrigeradores e freezers, liquidificadores, fornos microondas, Buffet quentes, Buffet frio, bandejas para atendimento, pratos, talheres e fritadeiras reserva. Escritórios e outros: 01 relógios-ponto automáticos, 02 aparelhos telefônicos, 01 aparelhos de senha para atendimento, painéis backlight frontais e internos, softwares de gestão instalados e operacionais, planilhas de controle de fluxo de caixa e controle de custos em ambas as unidades. ",0,"Pratos Executivos: Sete tipos de pratos balanceados, compostos por: Feijão, Arroz, Salada, (farofa, fritas, ovo ou purê) e a carne de frango (Filé Grelhado, Filé Acebolado, Filé à Parmegiana, Frango a Passarinho, Hambúrguer de Frango e Cordon Bleu). Sanduíches Seis tipos de sanduíches, sendo 3 destes em até 3 tamanhos. Todos podem ser acompanhados por fritas e refrigerante (formato combo) gerando até 14 combinações. Petiscos Onze tipos de petiscos, podendo atingir 15 opções no formato combo. Bebidas Refrigerantes, Sucos Naturais, Vitaminas, Chás, Cerveja e Chopp.",,2003,"Separação dos Sócios por surgimento de outra oportunidade para ambos; envolvendo administração de grandes negócios da família para um e Consultoria empresarial a grandes corporações para outro, em outro Estado; demandando assim mais disponibilidade de tempo para ambos e possível mudança de residência.",,,,55850,33510,60,8500,2,Nenhum,"Existem duas Lojas uma em Joinville e Outra e Jaraguá do Sul, nas mesmas condições vendesse as duas pelo preço de uma. (Faturamento corresponde as duas)",11,"Empresa totalmente PADRONIZADA, apta para se tornar uma Franqueadora nos moldes da ABF,Marca Registrada, Produtos que atingem todas as faixas etárias, pois possui um mix bem diversificado dentro da especialidade de frango, Especialista em Carne de Frango, sem concorrência similar, Lojas instaladas em shopping centers, proporcionando comodidade, conforto, estacionamento e segurança aos clientes.","Endereço ",Complemento,"Bairro ",Joinville,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
